"truck_events_text_partition.driverid","truck_events_text_partition.truckid","truck_events_text_partition.eventtime","truck_events_text_partition.eventtype","truck_events_text_partition.longitude","truck_events_text_partition.latitude","truck_events_text_partition.eventkey","truck_events_text_partition.correlationid","truck_events_text_partition.drivername","truck_events_text_partition.routeid","truck_events_text_partition.routename","truck_events_text_partition.date"
"18","91","2014-10-18 14:29:30.421","Normal","-90.24","39.72","18|91|9223370623187005386","7660477280817270717","Grant Liu","1565885487","Springfield to KC Via Hanibal","2014-10-18-21"
"29","41","2014-10-18 14:29:30.684","Normal","-97.37","36.79","29|41|9223370623187005123","7660477280817270717","Teddy Choi","803014426","Wichita to Little Rock Route 2","2014-10-18-21"
"20","15","2014-10-18 14:29:30.651","Normal","-92.19","41.74","20|15|9223370623187005156","7660477280817270717","Chris Harris","160779139","Des Moines to Chicago Route 2","2014-10-18-21"
"26","71","2014-10-18 14:29:30.782","Normal","-91.07","38.31","26|71|9223370623187005025","7660477280817270717","Michael Aube","1325712174","Saint Louis to Tulsa Route2","2014-10-18-21"
"30","82","2014-10-18 14:29:30.8","Normal","-92.19","41.74","30|82|9223370623187005007","7660477280817270717","Dan Rice","160779139","Des Moines to Chicago Route 2","2014-10-18-21"
"17","101","2014-10-18 14:29:31.182","Normal","-91.1","38.83","17|101|9223370623187004625","7660477280817270717","Eric Mizell","1927624662","Springfield to KC Via Columbia","2014-10-18-21"
"22","73","2014-10-18 14:29:31.381","Normal","-91.74","34.89","22|73|9223370623187004426","7660477280817270717","Nadeem Asghar","1594289134","Memphis to Little Rock Route 2","2014-10-18-21"
"10","22","2014-10-18 14:29:31.422","Normal","-91.18","38.22","10|22|9223370623187004385","7660477280817270717","George Vetticaden","1390372503","Saint Louis to Tulsa","2014-10-18-21"
"31","40","2014-10-18 14:29:31.573","Normal","-94.38","38.67","31|40|9223370623187004234","7660477280817270717","Rommel Garcia","160405074","Joplin to Kansas City Route 2","2014-10-18-21"
"32","86","2014-10-18 14:29:31.592","Normal","-91.74","34.89","32|86|9223370623187004215","7660477280817270717","Ryan Templeton","1594289134","Memphis to Little Rock Route 2","2014-10-18-21"
"25","38","2014-10-18 14:29:31.844","Normal","-89.54","36.84","25|38|9223370623187003963","7660477280817270717","Jean-Philippe Player","1567254452","Saint Louis to Memphis Route2","2014-10-18-21"
"15","69","2014-10-18 14:29:32.271","Normal","-91.93","34.81","15|69|9223370623187003536","7660477280817270717","Rohit Bakshi","371182829","Memphis to Little Rock","2014-10-18-21"
"20","15","2014-10-18 14:29:32.358","Normal","-91.59","41.7","20|15|9223370623187003449","7660477280817270717","Chris Harris","160779139","Des Moines to Chicago Route 2","2014-10-18-21"
"29","41","2014-10-18 14:29:32.413","Normal","-97.35","36.4","29|41|9223370623187003394","7660477280817270717","Teddy Choi","803014426","Wichita to Little Rock Route 2","2014-10-18-21"
"30","82","2014-10-18 14:29:32.541","Normal","-91.59","41.7","30|82|9223370623187003266","7660477280817270717","Dan Rice","160779139","Des Moines to Chicago Route 2","2014-10-18-21"
"27","110","2014-10-18 14:29:32.692","Normal","-91.19","38.83","27|110|9223370623187003115","7660477280817270717","Mark Lochbihler","1325562373","Springfield to KC Via Columbia Route 2","2014-10-18-21"
"13","47","2014-10-18 14:29:32.682","Normal","-91.59","41.7","13|47|9223370623187003125","7660477280817270717","Joe Niemiec","927636994","Des Moines to Chicago.kml","2014-10-18-21"
"28","95","2014-10-18 14:29:33.08","Normal","-90.63","39.7","28|95|9223370623187002727","7660477280817270717","Olivier Renault","137128276","Springfield to KC Via Hanibal Route 2","2014-10-18-21"
"23","56","2014-10-18 14:29:33.281","Normal","-91.63","41.72","23|56|9223370623187002526","7660477280817270717","Adam Diaz","1090292248","Peoria to Ceder Rapids Route 2","2014-10-18-21"
"19","107","2014-10-18 14:29:33.341","Normal","-97.14","36.41","19|107|9223370623187002466","7660477280817270717","Ajay Singh","1962261785","Wichita to Little Rock.kml","2014-10-18-21"
"21","35","2014-10-18 14:29:33.393","Normal","-94.59","39.1","21|35|9223370623187002414","7660477280817270717","Jeff Markham","160405074","Joplin to Kansas City Route 2","2014-10-18-21"
"11","51","2014-10-18 14:29:33.431","Normal","-87.67","41.87","11|51|9223370623187002376","7660477280817270717","Jamie Engesser","987179512"," Saint Louis to Chicago","2014-10-18-21"
"16","33","2014-10-18 14:29:33.529","Normal","-91.63","41.72","16|33|9223370623187002278","7660477280817270717","Tom McCuch","24929475","Peoria to Ceder Rapids","2014-10-18-21"
"22","73","2014-10-18 14:29:34.011","Normal","-92.31","34.78","22|73|9223370623187001796","7660477280817270717","Nadeem Asghar","1594289134","Memphis to Little Rock Route 2","2014-10-18-21"
"29","41","2014-10-18 14:29:34.121","Normal","-96.97","36.24","29|41|9223370623187001686","7660477280817270717","Teddy Choi","803014426","Wichita to Little Rock Route 2","2014-10-18-21"
"10","22","2014-10-18 14:29:34.192","Normal","-91.55","38.04","10|22|9223370623187001615","7660477280817270717","George Vetticaden","1390372503","Saint Louis to Tulsa","2014-10-18-21"
"13","47","2014-10-18 14:29:34.331","Normal","-90.82","41.66","13|47|9223370623187001476","7660477280817270717","Joe Niemiec","927636994","Des Moines to Chicago.kml","2014-10-18-21"
"11","51","2014-10-18 14:29:34.372","Overspeed","-88.07","41.48","11|51|9223370623187001435","7660477280817270717","Jamie Engesser","987179512"," Saint Louis to Chicago","2014-10-18-21"
"14","68","2014-10-18 14:29:34.583","Normal","-94.59","39.1","14|68|9223370623187001224","7660477280817270717","Adis Cesir","1384345811","Joplin to Kansas City","2014-10-18-21"
"26","35","2014-10-18 18:14:24.926","Normal","-91.69","37.99","26|35|9223370623173510881","-6285415704392739354","Michael Aube","1325712174","Saint Louis to Tulsa Route2","2014-10-18-21"
"12","63","2014-10-18 14:29:26.568","Normal","-90.15","38.62","12|63|9223370623187009239","7660477280817270717","Paul Codding","1961634315","Saint Louis to Memphis","2014-10-18-21"
"26","71","2014-10-18 14:29:26.545","Normal","-90.18","38.64","26|71|9223370623187009262","7660477280817270717","Michael Aube","1325712174","Saint Louis to Tulsa Route2","2014-10-18-21"
"31","40","2014-10-18 14:29:26.633","Normal","-94.58","37.03","31|40|9223370623187009174","7660477280817270717","Rommel Garcia","160405074","Joplin to Kansas City Route 2","2014-10-18-21"
"16","33","2014-10-18 14:29:26.662","Normal","-89.52","40.7","16|33|9223370623187009145","7660477280817270717","Tom McCuch","24929475","Peoria to Ceder Rapids","2014-10-18-21"
"24","57","2014-10-18 14:29:26.706","Normal","-90.2","38.65","24|57|9223370623187009101","7660477280817270717","Don Hilborn","1198242881"," Saint Louis to Chicago Route2","2014-10-18-21"
"30","82","2014-10-18 14:29:26.712","Normal","-93.58","41.62","30|82|9223370623187009095","7660477280817270717","Dan Rice","160779139","Des Moines to Chicago Route 2","2014-10-18-21"
"28","95","2014-10-18 14:29:27.066","Normal","-89.78","39.77","28|95|9223370623187008741","7660477280817270717","Olivier Renault","137128276","Springfield to KC Via Hanibal Route 2","2014-10-18-21"
"18","91","2014-10-18 14:29:27.153","Normal","-89.78","39.77","18|91|9223370623187008654","7660477280817270717","Grant Liu","1565885487","Springfield to KC Via Hanibal","2014-10-18-21"
"29","41","2014-10-18 14:29:27.243","Normal","-97.32","37.48","29|41|9223370623187008564","7660477280817270717","Teddy Choi","803014426","Wichita to Little Rock Route 2","2014-10-18-21"
"31","40","2014-10-18 14:29:27.359","Normal","-94.46","37.16","31|40|9223370623187008448","7660477280817270717","Rommel Garcia","160405074","Joplin to Kansas City Route 2","2014-10-18-21"
"27","110","2014-10-18 14:29:27.426","Normal","-90.41","38.75","27|110|9223370623187008381","7660477280817270717","Mark Lochbihler","1325562373","Springfield to KC Via Columbia Route 2","2014-10-18-21"
"24","57","2014-10-18 14:29:27.393","Normal","-89.74","39.1","24|57|9223370623187008414","7660477280817270717","Don Hilborn","1198242881"," Saint Louis to Chicago Route2","2014-10-18-21"
"12","63","2014-10-18 14:29:27.911","Normal","-90.24","38.0","12|63|9223370623187007896","7660477280817270717","Paul Codding","1961634315","Saint Louis to Memphis","2014-10-18-21"
"15","69","2014-10-18 14:29:28.011","Normal","-90.68","35.12","15|69|9223370623187007796","7660477280817270717","Rohit Bakshi","371182829","Memphis to Little Rock","2014-10-18-21"
"16","33","2014-10-18 14:29:28.102","Normal","-90.29","40.96","16|33|9223370623187007705","7660477280817270717","Tom McCuch","24929475","Peoria to Ceder Rapids","2014-10-18-21"
"24","57","2014-10-18 14:29:28.251","Normal","-89.63","39.84","24|57|9223370623187007556","7660477280817270717","Don Hilborn","1198242881"," Saint Louis to Chicago Route2","2014-10-18-21"
"30","82","2014-10-18 14:29:28.367","Normal","-93.04","41.71","30|82|9223370623187007440","7660477280817270717","Dan Rice","160779139","Des Moines to Chicago Route 2","2014-10-18-21"
"17","101","2014-10-18 14:29:28.621","Normal","-90.67","38.82","17|101|9223370623187007186","7660477280817270717","Eric Mizell","1927624662","Springfield to KC Via Columbia","2014-10-18-21"
"18","91","2014-10-18 14:29:28.74","Normal","-90.14","39.76","18|91|9223370623187007067","7660477280817270717","Grant Liu","1565885487","Springfield to KC Via Hanibal","2014-10-18-21"
"26","71","2014-10-18 14:29:29.013","Normal","-90.69","38.5","26|71|9223370623187006794","7660477280817270717","Michael Aube","1325712174","Saint Louis to Tulsa Route2","2014-10-18-21"
"25","38","2014-10-18 14:29:29.059","Normal","-90.0","37.72","25|38|9223370623187006748","7660477280817270717","Jean-Philippe Player","1567254452","Saint Louis to Memphis Route2","2014-10-18-21"
"29","41","2014-10-18 14:29:29.113","Normal","-97.32","37.15","29|41|9223370623187006694","7660477280817270717","Teddy Choi","803014426","Wichita to Little Rock Route 2","2014-10-18-21"
"19","107","2014-10-18 14:29:29.22","Normal","-97.32","37.15","19|107|9223370623187006587","7660477280817270717","Ajay Singh","1962261785","Wichita to Little Rock.kml","2014-10-18-21"
"22","73","2014-10-18 14:29:29.601","Normal","-91.14","34.96","22|73|9223370623187006206","7660477280817270717","Nadeem Asghar","1594289134","Memphis to Little Rock Route 2","2014-10-18-21"
"10","22","2014-10-18 14:29:29.702","Normal","-90.86","38.46","10|22|9223370623187006105","7660477280817270717","George Vetticaden","1390372503","Saint Louis to Tulsa","2014-10-18-21"
"29","41","2014-10-18 14:29:29.902","Normal","-97.37","36.91","29|41|9223370623187005905","7660477280817270717","Teddy Choi","803014426","Wichita to Little Rock Route 2","2014-10-18-21"
"31","40","2014-10-18 14:29:29.962","Normal","-94.37","38.0","31|40|9223370623187005845","7660477280817270717","Rommel Garcia","160405074","Joplin to Kansas City Route 2","2014-10-18-21"
"25","38","2014-10-18 14:29:30.025","Normal","-89.71","37.47","25|38|9223370623187005782","7660477280817270717","Jean-Philippe Player","1567254452","Saint Louis to Memphis Route2","2014-10-18-21"
"17","101","2014-10-18 14:29:30.33","Normal","-90.93","38.82","17|101|9223370623187005477","7660477280817270717","Eric Mizell","1927624662","Springfield to KC Via Columbia","2014-10-18-21"
"10","22","2014-10-18 14:29:30.594","Normal","-91.07","38.31","10|22|9223370623187005213","7660477280817270717","George Vetticaden","1390372503","Saint Louis to Tulsa","2014-10-18-21"
"15","69","2014-10-18 14:29:30.431","Normal","-91.38","34.83","15|69|9223370623187005376","7660477280817270717","Rohit Bakshi","371182829","Memphis to Little Rock","2014-10-18-21"
"11","51","2014-10-18 14:29:30.72","Normal","-88.42","41.11","11|51|9223370623187005087","7660477280817270717","Jamie Engesser","987179512"," Saint Louis to Chicago","2014-10-18-21"
"19","107","2014-10-18 14:29:31.011","Normal","-97.37","36.79","19|107|9223370623187004796","7660477280817270717","Ajay Singh","1962261785","Wichita to Little Rock.kml","2014-10-18-21"
